term,definition,source_page
Maternal death,"The death of a woman during pregnancy, childbirth, or shortly after, from causes related to the pregnancy.",5
MMR (Maternal Mortality Ratio),"The number of maternal deaths per 100,000 live births - the standard measure of how risky pregnancy is.",7
Direct causes,"Deaths caused by pregnancy or birth itself, such as eclampsia, bleeding, infection or obstructed labour.",5
Indirect causes,"Deaths from other conditions made worse by pregnancy, such as anaemia, heart disease, malaria or HIV.",5
Eclampsia,Dangerously high blood pressure in pregnancy that leads to seizures; often preceded by pre-eclampsia.,16
Obstetric haemorrhage,"Heavy, life-threatening bleeding during or after childbirth.",8
Maternal sepsis,"A severe infection during pregnancy, birth or the period after, often after unsafe abortion or prolonged labour.",8
Ruptured uterus,"A tear in the wall of the womb, usually caused by obstructed labour; often fatal without surgery.",8
ICD-10,The World Health Organization’s coding system for classifying diseases and causes of death.,5
CBR (Crude Birth Rate),"Births per 1,000 people in a year.",7
Institutional birth,A birth that takes place in a health facility rather than at home.,5
Women of child-bearing age,"Women aged 15-49, the group at risk of maternal death.",5
