figure_id,category,label,value,value_label,comparator_value,comparator_label,unit,direction,affected,plain_language,source_page,headline,section
fig-deaths-gap,Plausibility,Newborn deaths captured per year,8500,recorded in DHIS2,48000,expected nationally,deaths/year,Gap,policymakers,"The system records about 8,500 newborn deaths a year against roughly 48,000 expected. Most are never counted.",2,yes,plausibility
fig-nmr-dhis-dhs,Plausibility,Newborn death rate: system vs survey,5.9,"DHIS2 (2024, adjusted)",24,DHS survey (2022/23),"per 1,000 live births",Lower,general public,"The routine system reports 5.9 deaths per 1,000 births. The national survey found 24, four times higher.",8,yes,plausibility
fig-nmr-dhis-igme,Plausibility,Newborn death rate: system vs UN estimate,5.9,"DHIS2 (2024, adjusted)",21,UN-IGME (2023),"per 1,000 live births",Lower,policymakers,"Against the UN's estimate of 21 per 1,000, the routine system still captures only a fraction.",8,,plausibility
fig-completeness-all,Completeness,Overall monthly reporting completeness,58.3,actual,100,expected,% of months,Gap,hospitals,"Across all 35 hospitals, reports were filed in only 58.3% of the months they were due.",7,yes,completeness
fig-completeness-rrh,Completeness,Regional hospital reporting (median),61.7,actual,100,expected,% of months,Gap,hospitals,Regional referral hospitals filed reports in a median 61.7% of months.,7,,completeness
fig-completeness-tert,Completeness,Tertiary hospital reporting (median),50.0,actual,100,expected,% of months,Gap,hospitals,"Tertiary hospitals filed reports in a median of just 50% of months, and none topped 73%.",7,,completeness
fig-rrh-above75,Completeness,Regional hospitals reporting >75% of months,8,of 28 hospitals,28,total,hospitals,Lower,hospitals,Only 8 of 28 regional hospitals reported in more than three quarters of months.,7,,completeness
fig-tert-above75,Completeness,Tertiary hospitals reporting >75% of months,0,of 7 hospitals,7,total,hospitals,Lower,hospitals,No tertiary hospital cleared the 75% reporting bar.,7,,completeness
fig-consistency,Consistency,Hospitals with consistent year-to-year rates,28.6,actual,100,ideal,% of hospitals,Gap,students,Only 28.6% of hospitals kept their newborn death rate within WHO's consistency band.,2,,consistency
fig-underreport,Plausibility,Share of newborn deaths under-reported,75,under-reported,100,total,% of deaths,Gap,policymakers,More than 75% of newborn deaths go unrecorded in the routine system.,16,,plausibility
fig-coverage,Background,Live births that happen in a facility,80,in facilities,100,all births,% of births,Higher,general public,"About 80% of Tanzanian births happen in a health facility, so most deaths should show up in facility data.",8,,background
fig-scale,Background,Newborn deaths recorded over 10 years,34190,recorded,34190,recorded,deaths,New,students,"The study covers 34,190 recorded newborn deaths across 35 hospitals over 2015-2024.",14,,background
