figure_id,category,label,value,value_label,comparator_value,comparator_label,unit,direction,affected,plain_language,source_page,headline,section
fig-cfr,Scale,Critically ill women who died,11.43,16 of 140 women,100,all severe-outcome women,% of SMO women,Gap,general public,About 1 in 9 women who reached a severe outcome died; the rest were near-misses who survived.,4,yes,scale
fig-mnm-ratio,Scale,Near-misses for every death,7.75,near-misses,1,per maternal death,near-misses per death,High,policymakers,"For every mother who died, nearly eight others came close - a large, learnable warning signal that deaths alone miss.",4,,scale
fig-mmr,Scale,Hospital maternal death rate,459.77,Dodoma RRH (2015-16),556,national survey estimate,"per 100,000 live births",High,policymakers,"Among live births at this hospital, the maternal death rate worked out to about 460 per 100,000 - in the range of Tanzania's high national figures.",4,yes,scale
fig-direct-morbidity,Causes,Severe cases from direct causes,74.28,104 of 140 cases,100,all severe cases,% of severe cases,Direct,hospitals,"Three quarters of the life-threatening cases came from direct causes of pregnancy and birth, not other illnesses.",5,,causes
cause-hypertensive-death,Causes,Hypertensive disorders (of deaths),25.0,4 of 16 deaths,100,all deaths,% of maternal deaths,Leading,hospitals,"High-blood-pressure disorders in pregnancy, including pre-eclampsia and eclampsia, caused a quarter of the deaths.",5,yes,causes
cause-pph-death,Causes,Postpartum haemorrhage (of deaths),18.75,3 of 16 deaths,100,all deaths,% of maternal deaths,Leading,hospitals,"Heavy bleeding after birth was among the top killers, and the study calls it the leading cause among these women.",5,,causes
cause-anaemia-death,Causes,Severe anaemia (of deaths),18.75,3 of 16 deaths,100,all deaths,% of maternal deaths,Indirect,general public,"Severe anaemia, an indirect cause, killed as many of these women as the leading direct causes did.",5,,causes
cause-cardio-death,Causes,Cardiovascular disease (of deaths),18.75,3 of 16 deaths,100,all deaths,% of maternal deaths,Indirect,general public,"Heart and blood-vessel disease was an equally common cause of death, and is easy to overlook.",5,,causes
cause-pph-morbidity,Causes,Postpartum haemorrhage (of severe cases),17.86,25 of 140 cases,100,all severe cases,% of severe cases,Leading,hospitals,Bleeding after birth was the single most common reason a woman became critically ill.,5,,causes
fig-perinatal-poor,Babies,Pregnancies with a poor outcome for the baby,45.0,63 of 140,100,all severe-outcome pregnancies,% of pregnancies,Gap,general public,"Almost half of these pregnancies ended badly for the baby - a stillbirth, an early death, or serious complications at birth.",4,yes,babies
fig-perinatal-deaths,Babies,Perinatal deaths among the 140 pregnancies,39,babies died,140,severe-outcome pregnancies,babies,Gap,general public,39 babies were stillborn or died in the first days of life among these 140 high-risk pregnancies.,4,,babies
fig-blood,Systems,Women given too little blood,40,of those needing a transfusion,100,all who needed a transfusion,% who needed blood,Gap,policymakers,"More than half the women needed a blood transfusion, and about 40% of them received less than physicians prescribed.",5,,so-what
