finding_id,section_id,title,plain_language,so_what,source_page
f-overall,scores,Only 1 in 10 facilities met the standard,"Just 280 of 2,583 facilities (10.8%) scored the 80% needed to meet the maternal & child health quality standard.",Most local clinics fall short across the board. Access alone doesn't guarantee good care.,1
f-best,scores,Maternal death reviews were the bright spot,"Maternal death reviews (MPDSR) were the most-implemented indicator, done by 2,057 facilities (79.6%).","Facilities can follow a guideline when it's prioritised, but a review only helps if someone acts on it.",5
f-cervical,gaps,Cervical cancer screening is barely offered,"Only 199 facilities (7.7%) offered cervical cancer screening, the lowest of all 12 indicators.","A largely preventable cancer goes unscreened in most clinics, against the WHO 2030 elimination goal.",5
f-supplies,gaps,Emergency obstetric supplies are often missing,Key obstetric medicines and supplies were available in just 424 facilities (16.4%).,Life-saving supplies are absent exactly where childbirth emergencies must be managed.,5
f-newborn,gaps,Newborn care space is rare,"Among 394 hospitals and health centres, only 60 (15.2%) had postnatal and newborn care with dedicated neonatal and KMC space.",Sick and small newborns often have nowhere equipped to be cared for.,5
f-level,predictors,Higher-level facilities do far better,"Compared with dispensaries, health centres were about 7 times more likely to meet the standard (AOR 7.21) and hospitals about 35 times (AOR 34.7).","Quality concentrates at the higher levels. Dispensaries, where most people go first, lag furthest behind.",6
f-ownership,predictors,Public facilities outperform private,"Public facilities were about three times as likely to meet the standard as private ones (AOR 2.94, 95% CI 1.80–5.05).","Free government MCH services may drive investment that private, cost-driven clinics lack.",6
f-nurse,predictors,Enough nurses matters,"Facilities with sufficient nurse staffing were about twice as likely to meet the standard (AOR 2.12, 95% CI 1.34–3.53); clinician numbers showed no significant effect.","Nurses, not doctors, carry much of the quality here, so staffing them is one of the clearest fixes.",6
f-management,predictors,Functional teams lift quality,"Functional Health Facility Management Teams (AOR 1.62) and Quality Improvement Teams (AOR 1.71) both predicted meeting the standard, yet only 560 of 2,358 facilities (24%) had a functional QIT.","Leadership and quality-improvement teams are cheap to set up, yet most facilities still don't have them.",6
f-location,predictors,Urban vs rural made no real difference,"After adjustment, urban facilities were no more likely to meet the standard than rural ones (AOR 1.07, 95% CI 0.69–1.62; p = 0.75).","The quality gap comes down to facility level, ownership and management, not simply town versus countryside.",6
